delay 0.5,1554666903.75982,1554666903.79164,1554666904.15533,1554666904.18713,1554666904.22194,0.031819343566895,0.430297613143921,,,,
delay 0.5,1554666904.2924,1554666904.32451,1554666904.32498,1554666904.35694,1554666904.3495,0.032106876373291,0.024983406066895,,,,
delay 0.5,1554666904.82527,1554666904.85694,1554666904.96594,1554666904.99769,1554666905.74437,0.03166937828064,0.887432336807251,,,,
delay 0.5,1554666905.3577,1554666905.38954,1554666907.05909,1554666907.09082,1554666907.82821,0.031838417053223,2.4386727809906,,,,
delay 0.5,1554666905.89025,1554666905.92211,1554666907.09098,1554666907.12271,1554666907.82846,0.031861066818237,1.90634870529175,,,,
delay 0.5,1554666906.42287,1554666906.45459,1554666907.12288,1554666907.15476,1554666907.82861,0.031718254089356,1.37402176856995,,,,
delay 0.5,1554666906.95534,1554666906.98718,1554666907.15491,1554666907.18682,1554666907.82872,0.03183388710022,0.841541767120361,,,,
delay 0.5,1554666907.48794,1554666907.5197,1554666909.96842,1554666910.0025,1554666910.74931,0.031765460968018,3.22960925102234,,,,
delay 0.5,1554666908.02046,1554666908.05226,1554666910.00266,1554666910.03446,1554666910.75069,0.031793594360352,2.69842743873596,,,,
delay 0.5,1554666908.55304,1554666908.58489,1554666910.03462,1554666910.06653,1554666910.75082,0.031858205795288,2.16593027114868,,,,
delay 0.5,1554666909.08567,1554666909.11746,1554666910.06669,1554666910.0985,1554666910.75094,0.031793117523193,1.6334707736969,,,,
delay 0.5,1554666909.61823,1554666909.64996,1554666910.09864,1554666910.13057,1554666910.75104,0.031731843948364,1.10107588768005,,,,
delay 0.5,1554666910.15071,1554666910.18251,1554666910.55865,1554666910.59034,1554666910.75115,0.031795978546143,0.568636417388916,,,,
delay 0.5,1554666910.68326,1554666910.71511,1554666910.73602,1554666910.77114,1554666910.80424,0.031849384307861,0.089134931564331,,,,
delay 0.5,1554666911.21671,1554666911.24926,1554666913.06034,1554666913.09202,1554666913.82885,0.032547950744629,2.57958674430847,,,,
delay 0.5,1554666911.75001,1554666911.78181,1554666913.09214,1554666913.12393,1554666913.82912,0.031802654266358,2.04731011390686,,,,
delay 0.5,1554666912.28256,1554666912.31433,1554666913.12409,1554666913.15606,1554666913.82924,0.03176736831665,1.51491689682007,,,,
delay 0.5,1554666912.81507,1554666912.84676,1554666913.15626,1554666913.18818,1554666913.82936,0.031690120697022,0.98259973526001,,,,
delay 0.5,1554666913.34754,1554666913.37925,1554666914.96608,1554666914.99776,1554666915.74451,0.031702280044556,2.3652675151825,,,,
delay 0.5,1554666913.88004,1554666913.91182,1554666914.99791,1554666915.0296,1554666915.74479,0.031779289245606,1.83297801017761,,,,
delay 0.5,1554666914.41257,1554666914.44424,1554666915.02976,1554666915.06175,1554666915.74492,0.0316641330719,1.30068039894104,,,,
delay 0.5,1554666914.94497,1554666914.97666,1554666915.06188,1554666915.09359,1554666915.74503,0.031685590744019,0.768368005752564,,,,
