loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671534.66156,1554671534.69356,1554671534.83133,1554671534.76888,1554671535.57829
,1554671534.69371,1554671536.37165,1554671536.36517,1554671536.48275,1554671537.51833
,1554671536.37183,1554671536.47615,1554671536.4696,1554671536.483,1554671537.51859
loss setting:0.4,,,,,
,1554671727.63245,1554671727.66453,1554671728.69043,1554671729.58006,1554671727.84679
,1554671727.66473,1554671727.69672,1554671728.69072,1554671729.58032,1554671727.84705
,1554671727.69682,1554671727.84952,1554671728.69087,1554671729.58045,1554671727.87809
,1554671727.84968,1554671727.88148,1554671728.69099,1554671729.58056,1554671728.67919
,1554671727.88161,1554671729.02759,1554671730.59101,1554671729.58072,1554671730.14636
,1554671729.02774,1554671729.05967,1554671730.59127,1554671729.58082,1554671730.14664
,1554671729.0598,1554671729.09169,1554671730.5914,1554671729.58093,1554671730.14678
,1554671729.09182,1554671730.17963,1554671730.59152,1554671731.48415,1554671730.19528
,1554671730.17979,1554671730.21175,1554671730.59164,1554671731.4844,1554671730.57886
,1554671730.21189,1554671731.33286,1554671731.69043,1554671731.48452,1554671731.56227
,1554671731.33301,1554671731.36483,1554671731.69068,1554671731.48466,1554671731.56252
,1554671731.36498,1554671732.55085,1554671734.69718,1554671732.58223,1554671732.56649
,1554671732.551,1554671732.58297,1554671734.69744,1554671732.58249,1554671732.59784
,1554671732.58314,1554671733.79546,1554671734.69757,1554671735.5803,1554671736.61339
,1554671733.79561,1554671733.82748,1554671734.69771,1554671735.58055,1554671736.61366
,1554671733.82763,1554671735.07544,1554671735.58999,1554671735.5807,1554671736.6138
,1554671735.07561,1554671735.10755,1554671735.59026,1554671735.58081,1554671736.61391
,1554671735.1077,1554671736.41953,1554671737.69042,1554671738.58029,1554671736.61402
,1554671736.4197,1554671736.45161,1554671737.69069,1554671738.58055,1554671736.61414
,1554671736.45175,1554671737.8116,1554671737.80591,1554671738.58074,1554671739.61336
,1554671737.81176,1554671744.33761,1554671746.69077,1554671744.58043,1554671745.61359
,1554671744.33775,1554671744.36964,1554671746.69102,1554671744.58071,1554671745.61383
