message size, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
Question 3,,,,,,,,,,,,,
32,1554185390.28167,1554185390.31446,1554185390.32645,1554185390.359,1554185390.36349,0.011990070343018,0.049030065536499,0.482379913330078,0.59369387626648,0.768449783325195,0.519579887390137,0.720029973983765,0.936589956283569
32,1554185390.31464,1554185390.3461,1554185390.35924,1554185390.492,1554185390.52689,0.013139963150025,0.180789947509766,2.2589099407196,2.26663599014282,2.27320003509521,2.34789991378784,2.36185402870178,2.38102006912231
32,1554185394.96499,1554185394.99697,1554185394.99224,1554185395.14125,1554185395.1458,-0.004729986190796,0.14883017539978,0.511080026626587,0.600830030441284,0.692280054092407,0.547809839248657,0.707963991165161,0.822309970855713
32,1554185394.99727,1554185395.02895,1554185395.14155,1554185395.174,1554185395.17861,0.112600088119507,0.149660110473633,0.487919807434082,0.627553939819336,0.911959886550903,0.524780035018921,0.833135986328125,1.08378982543945
32,1554185395.02923,1554185395.16094,1554185395.17425,1554185395.20848,1554185395.21317,0.013309955596924,0.0522301197052,2.71451997756958,2.7335159778595,2.78442001342773,2.95243000984192,3.10746202468872,3.49880003929138
32,1554185395.16117,1554185395.19649,1554185395.20882,1554185395.24128,1554185395.24576,0.012330055236816,0.049269914627075,0.42861008644104,0.540923976898193,0.596970081329346,0.707839965820313,0.861243963241577,1.01678991317749
32,1554185395.19662,1554185395.22793,1554185395.24145,1554185395.37404,1554185395.40901,0.013520002365112,0.181079864501953,0.107069969177246,0.300014019012451,0.470510005950928,0.213319778442383,0.426457977294922,0.538520097732544
32,1554185400.00878,1554185400.04115,1554185400.03642,1554185400.08592,1554185400.09042,-0.004729986190796,0.049269914627075,0.073879957199097,0.086607933044434,0.596479892730713,0.111359834671021,0.250009965896606,0.427639961242676
32,1554185400.04144,1554185400.07337,1554185400.08624,1554185400.12694,1554185400.13207,0.012870073318482,0.058700084686279,,,,,,
32,1554185400.07364,1554185400.10553,1554185400.12724,1554185400.15926,1554185400.16371,0.02170991897583,0.058180093765259,,,,,,
32,1554185400.10572,1554185400.14855,1554185400.15957,1554185400.197,1554185400.20155,0.011019945144653,0.052999973297119,,,,,,
32,1554185400.14868,1554185400.18025,1554185400.19732,1554185400.22923,1554185400.23374,0.017070055007935,0.053490161895752,,,,,,
32,1554185405.04196,1554185405.07502,1554185405.55787,1554185405.58996,1554185405.5946,0.482849836349487,0.519579887390137,,,,,,
32,1554185405.0753,1554185405.10788,1554185405.59026,1554185405.70633,1554185405.71141,0.482379913330078,0.603529930114746,,,,,,
32,1554185405.10812,1554185405.13961,1554185405.70666,1554185405.83914,1554185405.87508,0.567049980163574,0.735470056533814,,,,,,
32,1554185405.13983,1554185405.17173,1554185405.83947,1554185405.97201,1554185405.97671,0.667739868164063,0.804980039596558,,,,,,
32,1554185405.17198,1554185405.2039,1554185405.97235,1554185406.10572,1554185406.14049,0.768449783325195,0.936589956283569,,,,,,
32,1554185410.06246,1554185410.09442,1554185412.35333,1554185412.39029,1554185412.44474,2.2589099407196,2.3503201007843,,,,,,
32,1554185410.09468,1554185410.12633,1554185412.39045,1554185412.4221,1554185412.50735,2.26412010192871,2.38102006912231,,,,,,
32,1554185410.12648,1554185410.15789,1554185412.42239,1554185412.4626,1554185412.5076,2.26449990272522,2.34970998764038,,,,,,
32,1554185410.15803,1554185410.18958,1554185412.46278,1554185412.49452,1554185412.5699,2.27320003509521,2.38032007217407,,,,,,
32,1554185410.18973,1554185410.22217,1554185412.49462,1554185412.52634,1554185412.57007,2.27244997024536,2.34789991378784,,,,,,
32,1554185414.71083,1554185414.74267,1554185415.25375,1554185415.28591,1554185415.29048,0.511080026626587,0.547809839248657,,,,,,
32,1554185414.74293,1554185414.77469,1554185415.28612,1554185415.40342,1554185415.40873,0.511430025100708,0.634040117263794,,,,,,
32,1554185414.77481,1554185414.80666,1554185415.40375,1554185415.53744,1554185415.62897,0.597090005874634,0.822309970855713,,,,,,
32,1554185414.80678,1554185414.84547,1554185415.53774,1554185415.56957,1554185415.62923,0.692270040512085,0.783760070800781,,,,,,
32,1554185414.84567,1554185414.87744,1554185415.56972,1554185415.60148,1554185415.62934,0.692280054092407,0.75189995765686,,,,,,
32,1554185419.53418,1554185419.56607,1554185420.05399,1554185420.08625,1554185420.09085,0.487919807434082,0.524780035018921,,,,,,
32,1554185419.56634,1554185419.59804,1554185420.08655,1554185420.20304,1554185420.20769,0.488509893417358,0.609649896621704,,,,,,
32,1554185419.59822,1554185419.6297,1554185420.20335,1554185420.33671,1554185420.61909,0.573650121688843,0.989390134811401,,,,,,
32,1554185419.62985,1554185419.66127,1554185420.337,1554185420.60466,1554185420.61934,0.675729990005493,0.958070039749146,,,,,,
32,1554185419.66144,1554185419.69302,1554185420.60498,1554185420.73707,1554185420.77681,0.911959886550903,1.08378982543945,,,,,,
32,1554185424.55777,1554185424.82646,1554185427.61088,1554185427.64303,1554185427.91268,2.78442001342773,3.08622002601624,,,,,,
32,1554185424.82678,1554185424.92832,1554185427.64318,1554185427.67472,1554185427.94417,2.71485996246338,3.01585006713867,,,,,,
32,1554185424.92862,1554185424.9603,1554185427.67482,1554185427.71854,1554185427.94431,2.71451997756958,2.9840099811554,,,,,,
32,1554185424.96043,1554185424.992,1554185427.71874,1554185427.75057,1554185427.94443,2.72673988342285,2.95243000984192,,,,,,
32,1554185424.99216,1554185425.02371,1554185427.75075,1554185428.14984,1554185428.52251,2.72704005241394,3.49880003929138,,,,,,
32,1554185430.14486,1554185430.17695,1554185430.77392,1554185430.80595,1554185430.8893,0.596970081329346,0.712350130081177,,,,,,
32,1554185430.17721,1554185430.21949,1554185430.80614,1554185430.92271,1554185430.92733,0.586649894714356,0.707839965820313,,,,,,
32,1554185430.21965,1554185430.4944,1554185430.92301,1554185431.05643,1554185431.51119,0.42861008644104,1.01678991317749,,,,,,
32,1554185430.49463,1554185430.56082,1554185431.05673,1554185431.18906,1554185431.51142,0.495909929275513,0.950599908828735,,,,,,
